"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apart.ment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"26",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6363,23,NA,"A9","8641 16TH AVENUE                         ","            ",11214,1,0,1,"2,058","1,492",1930,1,"A9","$560,000",2013-06-06,560000,1492,2058,0
"27",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6366,69,NA,"A1","8658 BAY 16TH   STREET                   ","            ",11214,1,0,1,"4,833","1,724",1930,1,"A1","$860,000",2012-12-18,860000,1724,4833,0
"28",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6371,21,NA,"A9","73 BAY 20TH   STREET                     ","            ",11214,1,0,1,"2,417","2,132",1930,1,"A9","$508,000",2012-08-24,508000,2132,2417,0
"29",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6378,64,NA,"A1","56 BAY 28TH   STREET                     ","            ",11214,1,0,1,"3,867","1,704",1899,1,"A1","$600,000",2013-06-18,6e+05,1704,3867,0
"31",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6380,69,NA,"S1","8662 BAY PARKWAY                         ","            ",11214,1,1,2,"2,707","3,304",1960,1,"S1","$820,000",2012-11-29,820000,3304,2707,0
"32",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6395,20,NA,"A5","135 BAY 10TH STREET                      ","            ",11228,1,0,1,"2,417","2,000",1935,1,"A5","$690,000",2012-11-14,690000,2000,2417,0
"33",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6405,49,NA,"S1","1863 BATH AVENUE                         ","            ",11214,1,1,2,"1,172","1,800",1920,1,"S1","$550,000",2013-06-03,550000,1800,1172,0
"34",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6409,35,NA,"A9","94 BAY 25TH   STREET                     ","            ",11214,1,0,1,"1,440","1,281",1915,1,"A9","$479,000",2013-03-11,479000,1281,1440,0
"35",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6412,16,NA,"A1","8739 21ST   AVENUE                       ","            ",11214,1,0,1,"2,513","2,346",1935,1,"A1","$738,000",2013-06-06,738000,2346,2513,0
"37",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6426,35,NA,"A9","183 BAY 8TH STREET                       ","            ",11228,1,0,1,"1,933","1,562",1920,1,"A9","$685,000",2013-05-07,685000,1562,1933,0
"39",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6431,11,NA,"A9","1629 CROPSEY AVENUE                      ","            ",11214,1,0,1,"1,713","2,500",1930,1,"A9","$520,000",2013-05-31,520000,2500,1713,0
"42",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6460,40,NA,"S2","8855 15TH AVE                            ","            ",11228,2,1,3,"7,747","5,107",1945,1,"A2","$1,707,200",2013-07-25,1707200,5107,7747,0
"43",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,143,NA,"A5","1169 SHORE PARKWAY                       ","            ",11214,1,0,1,"2,511","1,392",1950,1,"A5","$525,000",2013-01-03,525000,1392,2511,0
"44",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,231,NA,"A5","246 BAY 13TH STREET                      ","            ",11214,1,0,1,"1,648","1,392",1945,1,"A5","$420,000",2013-02-21,420000,1392,1648,0
"46",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,268,NA,"A5","247 BAY 13TH   STREET                    ","            ",11214,1,0,1,"1,649","1,392",1940,1,"A5","$520,000",2012-12-12,520000,1392,1649,0
"47",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,280,NA,"A5","273 BAY 13TH STREET                      ","            ",11214,1,0,1,"2,062","1,860",1940,1,"A5","$675,000",2013-03-22,675000,1860,2062,0
"48",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,292,NA,"A5","299 BAY 13TH   STREET                    ","            ",11214,1,0,1,"2,062","1,860",1940,1,"A5","$410,000",2013-03-01,410000,1860,2062,0
"49",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,312,NA,"A5","1155 SHORE PARKWAY                       ","            ",11214,1,0,1,"1,861","1,392",1940,1,"A5","$553,800",2013-07-24,553800,1392,1861,0
"50",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,335,NA,"A5","1141 SHORE PARKWAY                       ","            ",11214,1,0,1,"1,878","1,479",1945,1,"A5","$515,000",2012-11-16,515000,1479,1878,0
"51",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6463,129,NA,"A5","8845 18TH AVENUE                         ","            ",11214,1,0,1,"1,372","992",1950,1,"A5","$460,000",2013-03-18,460000,992,1372,0
"52",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6464,50,NA,"A9","280 BAY 20TH STREET                      ","            ",11214,1,0,1,"1,600","1,320",1940,1,"A9","$525,000",2013-01-24,525000,1320,1600,0
"56",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6359,30,NA,"B1","11 BAY 8TH   STREET                      ","            ",11228,2,0,2,"1,948","3,160",1930,1,"B1","$888,000",2013-07-17,888000,3160,1948,0
"58",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6361,2,NA,"B1","1543 BENSON AVE                          ","            ",11228,2,0,2,"2,383","2,242",1930,1,"B1","$700,000",2013-02-20,7e+05,2242,2383,0
