,borough,neighborhood,building class category,tax class at present,block,lot,ease-ment,building class at present,address,apartment number,zip code,residential units,commercial units,total units,land square feet,gross square feet,year built,tax class at time of sale,building class at time of sale,sale price,sale date,gross square feet log,sale price log
25,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6363,23, ,A9,8641 16TH AVENUE                         ,            ,11214,1,0,1,2058,1492,1930,1,A9,560000,2013-06-06,7.307872780763706,13.235692062711331
26,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6366,69, ,A1,8658 BAY 16TH   STREET                   ,            ,11214,1,0,1,4833,1724,1930,1,A1,860000,2012-12-18,7.452402451223638,13.664687668229691
27,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6371,21, ,A9,73 BAY 20TH   STREET                     ,            ,11214,1,0,1,2417,2132,1930,1,A9,508000,2012-08-24,7.664815785285735,13.138236726560619
28,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6378,64, ,A1,56 BAY 28TH   STREET                     ,            ,11214,1,0,1,3867,1704,1899,1,A1,600000,2013-06-18,7.440733707389261,13.304684934198283
30,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6380,69, ,S1,8662 BAY PARKWAY                         ,            ,11214,1,1,2,2707,3304,1960,1,S1,820000,2012-11-29,8.102889134640868,13.617059619240436
31,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6395,20, ,A5,135 BAY 10TH STREET                      ,            ,11228,1,0,1,2417,2000,1935,1,A5,690000,2012-11-14,7.600902459542082,13.444446876573442
32,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6405,49, ,S1,1863 BATH AVENUE                         ,            ,11214,1,1,2,1172,1800,1920,1,S1,550000,2013-06-03,7.495541943884256,13.217673557208654
33,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6409,35, ,A9,94 BAY 25TH   STREET                     ,            ,11214,1,0,1,1440,1281,1915,1,A9,479000,2013-03-11,7.155396301896734,13.079455876393052
34,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6412,16, ,A1,8739 21ST   AVENUE                       ,            ,11214,1,0,1,2513,2346,1935,1,A1,738000,2013-06-06,7.76046702921342,13.51169910358261
36,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6426,35, ,A9,183 BAY 8TH STREET                       ,            ,11228,1,0,1,1933,1562,1920,1,A9,685000,2013-05-07,7.3537223303996315,13.437174117244362
38,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6431,11, ,A9,1629 CROPSEY AVENUE                      ,            ,11214,1,0,1,1713,2500,1930,1,A9,520000,2013-05-31,7.824046010856292,13.16158409055761
41,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,40, ,S2,8855 15TH AVE                            ,            ,11228,2,1,3,7747,5107,1945,1,A2,1707200,2013-07-25,8.538367426647644,14.350365159529625
42,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,143, ,A5,1169 SHORE PARKWAY                       ,            ,11214,1,0,1,2511,1392,1950,1,A5,525000,2013-01-03,7.238496840894365,13.17115354157376
43,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,231, ,A5,246 BAY 13TH STREET                      ,            ,11214,1,0,1,1648,1392,1945,1,A5,420000,2013-02-21,7.238496840894365,12.948009990259552
45,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,268, ,A5,247 BAY 13TH   STREET                    ,            ,11214,1,0,1,1649,1392,1940,1,A5,520000,2012-12-12,7.238496840894365,13.16158409055761
46,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,280, ,A5,273 BAY 13TH STREET                      ,            ,11214,1,0,1,2062,1860,1940,1,A5,675000,2013-03-22,7.528331766707247,13.422467969854667
47,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,292, ,A5,299 BAY 13TH   STREET                    ,            ,11214,1,0,1,2062,1860,1940,1,A5,410000,2013-03-01,7.528331766707247,12.92391243868049
48,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,312, ,A5,1155 SHORE PARKWAY                       ,            ,11214,1,0,1,1861,1392,1940,1,A5,553800,2013-07-24,7.238496840894365,13.224558889718999
49,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,335, ,A5,1141 SHORE PARKWAY                       ,            ,11214,1,0,1,1878,1479,1945,1,A5,515000,2012-11-16,7.2991214627108,13.151922179645874
50,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6463,129, ,A5,8845 18TH AVENUE                         ,            ,11214,1,0,1,1372,992,1950,1,A5,460000,2013-03-18,6.899723107284872,13.038981768465277
51,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6464,50, ,A9,280 BAY 20TH STREET                      ,            ,11214,1,0,1,1600,1320,1940,1,A9,525000,2013-01-24,7.1853870155804165,13.17115354157376
55,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6359,30, ,B1,11 BAY 8TH   STREET                      ,            ,11228,2,0,2,1948,3160,1930,1,B1,888000,2013-07-17,8.058327306580958,13.696727021974308
57,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,2, ,B1,1543 BENSON AVE                          ,            ,11228,2,0,2,2383,2242,1930,1,B1,700000,2013-02-20,7.715123603632105,13.458835614025542
59,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,28, ,B3,29 BAY 10TH STREET                       ,            ,11228,2,0,2,2103,1622,1930,1,B3,525000,2012-11-13,7.3914152346753585,13.17115354157376
61,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6363,57, ,B1,32 BAY 13TH   STREET                     ,            ,11214,2,0,2,2167,2340,1920,1,B1,860000,2013-06-19,7.757906208351747,13.664687668229691
63,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6365,7, ,B1,1661 BENSON AVENUE                       ,            ,11214,2,0,2,1800,2048,1910,1,B1,580000,2013-03-21,7.6246189861593985,13.270783382522602
67,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6368,25, ,B2,15 BAY 17TH STREET                       ,            ,11214,2,0,2,2417,2512,1905,1,B2,750000,2013-04-03,7.828834527588089,13.527828485512494
68,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6369,81, ,B3,74 BAY 19TH STREET                       ,            ,11214,2,0,2,985,1200,1930,1,B3,550000,2013-06-28,7.090076835776092,13.217673557208654
69,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6370,63, ,B3,22 BAY 20TH STREET                       ,            ,11214,2,0,2,2417,1584,1930,1,B3,600000,2013-04-02,7.367708572374371,13.304684934198283
72,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6373,5, ,B3,1925 BENSON AVENUE                       ,            ,11214,2,0,2,5000,2890,1935,1,B3,830000,2013-04-05,7.969011781106478,13.62918097977278
73,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6374,31, ,B2,45 BAY 23RD STREET                       ,            ,11214,2,0,2,3853,3340,1940,1,B2,645000,2013-06-18,8.113726085970747,13.37700559577791
77,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6377,27, ,B3,33 BAY 26TH   STREET                     ,            ,11214,2,0,2,4833,1984,1899,1,B3,925000,2012-08-13,7.592870287844818,13.737549016494562
78,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6377,47, ,B3,8610 21ST   AVENUE                       ,            ,11214,2,0,2,9667,2904,1899,1,B3,2220000,2012-12-28,7.973844375944687,14.613017753848462
83,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6393,9, ,B3,1451 BATH AVENUE                         ,            ,11228,2,0,2,1933,2115,1920,1,B3,520000,2012-08-24,7.656810091480378,13.16158409055761
84,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6394,36, ,B1,8691 15TH   AVENUE                       ,            ,11228,2,0,2,2344,3240,1940,1,B1,97500,2012-11-20,8.083328608786376,11.487607656985938
87,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6395,63, ,B9,134 BAY 11TH   STREET                    ,            ,11228,2,0,2,1925,2018,1955,1,B9,742500,2012-11-16,7.609862200913554,13.517778149658993
88,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6396,65, ,B9,8740 16TH   AVENUE                       ,            ,11214,2,0,2,1993,2160,1960,1,B9,710000,2013-03-26,7.67786350067821,13.473020249017498
92,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6398,54, ,B1,122 BAY 14 STREET                        ,            ,11214,2,0,2,2167,2448,1925,1,B1,700000,2012-09-28,7.803026643632217,13.458835614025542
95,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6400,2, ,S2,1721 BATH AVENUE                         ,            ,11214,2,1,3,2025,4400,1925,1,S2,595000,2013-02-13,8.389359819906353,13.296316684527767
98,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6402,22, ,B3,123 BAY 17TH STREET                      ,            ,11214,2,0,2,1933,1513,1910,1,B3,650000,2012-08-17,7.321849713788356,13.38472764187182
100,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6406,37, ,B3,132 BAY 22ND STREET                      ,            ,11214,2,0,2,5518,3254,1899,1,B3,995000,2012-12-31,8.087640287778983,13.81049801614073
102,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,31, ,B9,8793 14TH AVENUE                         ,            ,11228,2,0,2,2449,1802,1935,1,B9,750000,2012-08-13,7.496652438168283,13.527828485512494
103,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,40, ,B1,8773 14TH AVENUE                         ,            ,11228,2,0,2,2000,1812,1935,1,B1,699000,2012-09-27,7.502186486602924,13.457406021215947
